,CD,Incumbent,Party,Obama.2012,Romney.2012,Obama.2008,McCain.2008,state,dpres,stgj
368,7.0,"Culberson, John",(R),38.6,59.9,40.0,59.0,TX,39.1878172589,43
369,8.0,"Brady, Kevin",(R),21.7,77.0,26.0,73.0,TX,21.9858156028,43
370,9.0,"Green, Al",(D),78.0,21.1,76.0,23.0,TX,78.7083753784,43
371,10.0,"McCaul, Michael",(R),38.8,59.1,43.0,56.0,TX,39.6322778345,43
372,11.0,"Conaway, Michael",(R),23.0,76.0,23.0,76.0,TX,23.2323232323,43
373,12.0,"Granger, Kay",(R),31.7,66.8,35.0,64.0,TX,32.1827411168,43
374,13.0,"Thornberry, Mac",(R),18.5,80.2,22.0,77.0,TX,18.7436676798,43
375,14.0,"Weber, Randy",(R),39.5,59.3,42.0,57.0,TX,39.979757085,43
376,15.0,"Hinojosa, Ruben",(D),57.0,42.0,57.0,42.0,TX,57.5757575758,43
377,16.0,"O'Rourke, Beto",(D),64.2,34.5,64.0,35.0,TX,65.0455927052,43
378,17.0,"Flores, Bill",(R),37.7,60.4,41.0,58.0,TX,38.4301732926,43
379,18.0,"Jackson-Lee, Sheila",(D),76.1,22.8,77.0,23.0,TX,76.9464105157,43
380,19.0,"Neugebauer, Randy",(R),28.0,71.0,28.0,71.0,TX,28.2828282828,43
381,20.0,"Castro, Joaquin",(D),58.9,39.7,58.0,41.0,TX,59.7363083164,43
382,21.0,"Smith, Lamar",(R),37.9,59.8,42.0,56.0,TX,38.792221085,43
383,22.0,"Olson, Pete",(R),36.7,62.1,39.0,60.0,TX,37.1457489879,43
384,23.0,"Gallego, Pete",(D),50.0,49.0,50.0,49.0,TX,50.5050505051,43
385,24.0,"Marchant, Kenny",(R),38.0,60.4,41.0,58.0,TX,38.6178861789,43
386,25.0,"Williams, Roger",(R),37.8,60.0,43.0,56.0,TX,38.6503067485,43
387,26.0,"Burgess, Michael",(R),30.7,67.6,35.0,64.0,TX,31.2309257375,43
388,27.0,"Farenthold, Blake",(R),40.0,59.0,40.0,59.0,TX,40.404040404,43
389,28.0,"Cuellar, Henry",(D),58.0,41.0,58.0,41.0,TX,58.5858585859,43
390,29.0,"Green, Gene",(D),65.9,33.0,62.0,37.0,TX,66.6329625885,43
391,30.0,"Johnson, E.B.",(D),79.6,19.6,78.0,21.0,TX,80.2419354839,43
392,31.0,"Carter, John",(R),38.3,59.6,43.0,56.0,TX,39.1215526047,43
393,32.0,"Sessions, Pete",(R),41.5,57.0,44.0,55.0,TX,42.1319796954,43
394,33.0,"Veasey, Mark",(D),72.0,27.1,69.0,31.0,TX,72.6538849647,43
395,34.0,"Vela, Filemon",(D),60.0,39.0,60.0,39.0,TX,60.6060606061,43
396,35.0,"Doggett, Lloyd",(D),63.0,35.0,63.0,35.0,TX,64.2857142857,43
397,36.0,"Stockman, Steve",(R),25.7,73.2,30.0,69.0,TX,25.9858442872,43
398,1.0,"Bishop, Rob",(R),20.4,77.4,29.4,67.7,UT,20.8588957055,44
399,2.0,"Stewart, Chris",(R),29.2,68.0,38.4,58.5,UT,30.0411522634,44
400,3.0,"Chaffetz, Jason",(R),19.5,78.3,29.5,67.5,UT,19.9386503067,44
401,4.0,"Matheson, Jim",(D),30.2,67.2,40.9,56.1,UT,31.0061601643,44
402,1.0,"Wittman, Rob",(R),45.6,53.0,46.9,52.3,VA,46.247464503,46
403,2.0,"Rigell, Scott",(R),50.1,48.6,50.4,48.7,VA,50.7598784195,46
404,3.0,"Scott, Bobby",(D),79.0,20.0,78.5,20.9,VA,79.797979798,46
405,4.0,"Forbes, Randy",(R),48.8,50.1,48.9,50.4,VA,49.3427704752,46
406,5.0,"Hurt, Robert",(R),45.9,52.5,47.9,51.1,VA,46.6463414634,46
407,6.0,"Goodlatte, Bob",(R),39.5,58.8,42.0,57.0,VA,40.1831129196,46
408,7.0,"Cantor, Eric",(R),41.7,56.9,43.6,55.6,VA,42.2920892495,46
409,8.0,"Moran, Jim",(D),67.8,31.0,68.5,30.6,VA,68.6234817814,46
410,9.0,"Griffith, Morgan",(R),34.9,63.1,40.2,58.4,VA,35.612244898,46
411,10.0,"Wolf, Frank",(R),48.8,49.9,51.0,48.2,VA,49.4427558257,46
412,11.0,"Connolly, Gerry",(D),62.5,36.3,62.3,37.0,VA,63.2591093117,46
